# observed, predict
28.0000,26.4929
33.0000,30.5345
19.0000,20.4420
16.0000,16.9408
24.0000,21.4694
21.0000,20.0371
16.0000,16.9028
25.0000,22.4292
9.0000,14.2965
17.0000,15.3339
18.0000,16.6696
22.0000,19.8237
31.0000,28.1543
23.0000,21.8614
8.0000,13.0172
19.0000,16.0520
12.0000,13.8384
18.0000,17.3156
16.0000,17.0800
15.0000,16.4375
15.0000,16.4173
19.0000,18.8097
21.0000,20.7878
28.0000,26.2261
28.0000,25.9436
24.0000,22.8938
21.0000,20.6749
22.0000,20.7421
18.0000,18.2079
21.0000,19.7648
21.0000,19.6505
19.0000,18.7893
16.0000,17.2510
17.0000,17.5140
15.0000,16.3248
18.0000,17.5199
10.0000,13.0740
19.0000,16.9521
11.0000,13.6113
13.0000,13.6773
13.0000,13.7670
20.0000,18.1638
21.0000,19.9245
24.0000,22.8283
20.0000,20.6426
25.0000,23.5355
30.0000,27.7636
31.0000,28.5371
34.0000,30.8970
40.0000,36.4307
30.0000,27.1035
18.0000,19.4358
17.0000,17.3554
19.0000,18.1419
17.0000,17.1453
20.0000,18.9504
14.0000,15.7561
14.0000,14.8439
16.0000,15.5778
13.0000,14.2096
17.0000,16.0455
13.0000,14.2424
13.0000,14.0125
14.0000,14.8360
16.0000,16.3079
16.0000,16.7706
16.0000,16.8900
10.0000,13.9372
17.0000,16.8090
17.0000,18.0070
18.0000,18.9751
28.0000,26.3839
22.0000,21.9568
24.0000,22.1361
24.0000,22.1437
24.0000,22.2135
20.0000,19.5570
16.0000,16.7849
18.0000,17.0355
17.0000,16.5886
17.0000,16.6245
26.0000,23.0920
19.0000,19.0079
25.0000,22.2383
22.0000,20.5783
18.0000,17.9465
20.0000,18.7740
22.0000,20.3174
21.0000,19.8614
16.0000,16.7205
22.0000,20.1020
17.0000,17.9090
21.0000,20.1553
24.0000,22.9400
20.0000,20.4145
22.0000,21.2883
23.0000,21.9814
22.0000,21.3007
23.0000,21.6504
27.0000,24.5055
21.0000,20.7957
20.0000,19.6036
23.0000,21.5616
21.0000,20.8668
27.0000,24.8565
5.0000,14.5380
26.0000,22.2261
14.0000,16.4324
15.0000,16.2542
19.0000,18.3997
21.0000,20.1749
13.0000,15.8218
27.0000,24.1584
21.0000,20.8635
20.0000,20.1233
21.0000,20.4129
24.0000,22.3916
24.0000,22.8973
23.0000,22.2826
34.0000,31.2251
31.0000,28.8740
26.0000,24.8891
13.0000,16.8999
11.0000,13.7632
19.0000,17.5945
